Select,Time,Misalignment
3,0.030003750468808602,[-7.75505068]
3,0.030128766095761973,[-7.77310002]
3,0.030253781722715343,[-7.77750284]
3,0.03037879734966871,[-8.15526728]
3,0.03050381297662208,[-8.10159271]
3,0.03062882860357545,[-7.99029627]
3,0.030753844230528817,[-7.99523094]
3,0.030878859857482188,[-8.07792621]
3,0.031003875484435558,[-8.23829636]
3,0.031128891111388925,[-8.25810179]
3,0.031253906738342295,[-8.24801647]
3,0.031378922365295665,[-8.25836145]
3,0.031503937992249036,[-8.26068028]
3,0.0316289536192024,[-8.25657572]
3,0.03175396924615577,[-8.27256155]
3,0.03187898487310914,[-8.25631083]
3,0.03200400050006251,[-8.30599795]
3,0.03212901612701588,[-8.32997055]
3,0.03225403175396925,[-8.33819926]
3,0.03237904738092262,[-8.33827904]
3,0.032504063007875984,[-8.5216507]
3,0.032629078634829355,[-8.4779616]
3,0.032754094261782725,[-8.52951014]
3,0.032879109888736095,[-8.52699621]
3,0.033004125515689466,[-8.59963603]
3,0.033129141142642836,[-8.61647163]
3,0.0332541567695962,[-8.66176513]
3,0.03337917239654957,[-8.65381103]
3,0.03350418802350294,[-8.64007713]
3,0.03362920365045631,[-8.64628529]
3,0.03375421927740968,[-8.64734805]
3,0.03387923490436305,[-8.65119808]
3,0.034004250531316414,[-8.69805783]
3,0.034129266158269785,[-8.69512634]
3,0.034254281785223155,[-8.7053828]
3,0.034379297412176525,[-8.70204674]
3,0.034504313039129896,[-8.67142354]
3,0.034629328666083266,[-8.6714293]
3,0.03475434429303663,[-8.67549928]
3,0.03487935991999,[-8.67010325]
3,0.03500437554694337,[-8.66627798]
3,0.03512939117389674,[-8.66910101]
3,0.03525440680085011,[-8.69675601]
3,0.03537942242780348,[-8.69414923]
3,0.035504438054756844,[-8.67856909]
3,0.035629453681710214,[-8.67011227]
3,0.035754469308663585,[-8.68865106]
3,0.035879484935616955,[-8.70766484]
3,0.036004500562570325,[-8.72204677]
3,0.036129516189523696,[-8.70829481]
3,0.03625453181647706,[-8.65774284]
3,0.03637954744343043,[-8.65945546]
3,0.0365045630703838,[-8.68434331]
3,0.03662957869733717,[-8.67798122]
3,0.03675459432429054,[-8.7355945]
3,0.03687960995124391,[-8.81797553]
3,0.037004625578197274,[-8.82858246]
3,0.037129641205150644,[-8.83641863]
3,0.037254656832104015,[-8.83326858]
3,0.037379672459057385,[-8.83028071]
3,0.037504688086010755,[-8.87406601]
3,0.037629703712964126,[-8.85436717]
3,0.03775471933991749,[-8.90283737]
3,0.03787973496687086,[-8.85336211]
3,0.03800475059382423,[-8.86286641]
3,0.0381297662207776,[-8.96144047]
3,0.03825478184773097,[-8.97891557]
3,0.03837979747468434,[-8.99734483]
3,0.038504813101637704,[-8.96767897]
3,0.038629828728591074,[-9.10046824]
3,0.038754844355544445,[-9.05426549]
3,0.038879859982497815,[-9.0296983]
3,0.039004875609451185,[-8.90937951]
3,0.039129891236404556,[-8.96396445]
3,0.03925490686335792,[-8.97801056]
3,0.03937992249031129,[-8.93463738]
3,0.03950493811726466,[-8.89280031]
3,0.03962995374421803,[-8.90047671]
3,0.0397549693711714,[-8.87220862]
3,0.03987998499812477,[-8.8341552]
3,0.04000500062507814,[-8.78226722]
3,0.040130016252031504,[-8.81459955]
3,0.040255031878984875,[-8.75142238]
3,0.040380047505938245,[-8.70149923]
3,0.040505063132891615,[-8.81054464]
3,0.040630078759844986,[-8.87459133]
3,0.040755094386798356,[-8.87067884]
3,0.04088011001375172,[-8.89537218]
3,0.04100512564070509,[-8.90452816]
3,0.04113014126765846,[-8.81865078]
3,0.04125515689461183,[-8.84242401]
3,0.0413801725215652,[-8.84200106]
3,0.04150518814851857,[-8.88373179]
3,0.041630203775471934,[-8.8376701]
3,0.041755219402425305,[-8.83345986]
3,0.041880235029378675,[-8.95423349]
3,0.042005250656332045,[-8.94347787]
3,0.042130266283285416,[-8.94776103]
3,0.042255281910238786,[-8.94587677]
3,0.04238029753719215,[-8.94543119]
3,0.04250531316414552,[-8.96692247]
3,0.04263032879109889,[-8.93442085]
3,0.04275534441805226,[-8.96972407]
3,0.04288036004500563,[-8.99906325]
3,0.043005375671959,[-8.94258122]
3,0.043130391298912364,[-8.92198911]
3,0.043255406925865734,[-9.17456001]
3,0.043380422552819105,[-9.17986138]
3,0.043505438179772475,[-9.15021807]
3,0.043630453806725845,[-9.1552954]
3,0.043755469433679216,[-9.15145868]
3,0.04388048506063258,[-9.13277752]
3,0.04400550068758595,[-9.08793576]
3,0.04413051631453932,[-9.17789867]
3,0.04425553194149269,[-9.15622089]
3,0.04438054756844606,[-9.1381808]
3,0.04450556319539943,[-9.16849067]
3,0.044630578822352794,[-9.20092174]
3,0.044755594449306164,[-9.14531868]
3,0.044880610076259535,[-9.13918734]
3,0.045005625703212905,[-9.06000093]
3,0.045130641330166275,[-9.12263651]
3,0.045255656957119646,[-9.13214492]
3,0.04538067258407301,[-9.11587499]
3,0.04550568821102638,[-9.12034329]
3,0.04563070383797975,[-9.17638984]
3,0.04575571946493312,[-9.21724025]
3,0.04588073509188649,[-9.30138636]
3,0.04600575071883986,[-9.32619574]
3,0.046130766345793224,[-9.28529038]
3,0.046255781972746594,[-9.28382749]
3,0.046380797599699965,[-9.28993978]
3,0.046505813226653335,[-9.34304409]
3,0.046630828853606705,[-9.34853025]
3,0.046755844480560076,[-9.53669369]
3,0.04688086010751344,[-9.55071755]
3,0.04700587573446681,[-9.57444217]
3,0.04713089136142018,[-9.57588846]
3,0.04725590698837355,[-9.57697816]
3,0.04738092261532692,[-9.67547481]
3,0.04750593824228029,[-9.58164005]
3,0.047630953869233654,[-9.65138797]
3,0.047755969496187024,[-9.63765475]
3,0.047880985123140395,[-9.60382791]
3,0.048006000750093765,[-9.77466826]
3,0.048131016377047135,[-9.9064005]
3,0.048256032004000506,[-9.95932083]
3,0.048381047630953876,[-9.97718049]
3,0.04850606325790724,[-9.93486962]
3,0.04863107888486061,[-9.89397714]
3,0.04875609451181398,[-9.88760361]
3,0.04888111013876735,[-9.82252615]
3,0.04900612576572072,[-9.77086302]
3,0.04913114139267409,[-9.76270703]
3,0.049256157019627454,[-9.71882298]
3,0.049381172646580825,[-9.70499647]
3,0.049506188273534195,[-9.71138981]
3,0.049631203900487565,[-9.80995444]
3,0.049756219527440936,[-9.6476206]
3,0.049881235154394306,[-9.68769271]
3,0.05000625078134767,[-9.71855835]
3,0.05013126640830104,[-9.72530493]
3,0.05025628203525441,[-9.84898994]
3,0.05038129766220778,[-9.8455011]
3,0.05050631328916115,[-9.83261708]
3,0.05063132891611452,[-9.92192806]
3,0.050756344543067884,[-9.93291932]
3,0.050881360170021254,[-9.97620603]
3,0.051006375796974625,[-10.01488298]
3,0.051131391423927995,[-9.90216824]
3,0.051256407050881365,[-9.74985735]
3,0.051381422677834736,[-9.77002393]
3,0.0515064383047881,[-9.76513338]
3,0.05163145393174147,[-9.73711597]
3,0.05175646955869484,[-9.86632536]
3,0.05188148518564821,[-9.88384473]
3,0.05200650081260158,[-9.89982811]
3,0.05213151643955495,[-9.95036121]
3,0.052256532066508314,[-9.98220479]
3,0.052381547693461684,[-9.97088997]
3,0.052506563320415055,[-9.99845971]
3,0.052631578947368425,[-9.97496302]
3,0.052756594574321795,[-9.99352779]
3,0.052881610201275166,[-10.08171334]
3,0.05300662582822853,[-9.95504545]
3,0.0531316414551819,[-9.9621065]
3,0.05325665708213527,[-10.0022208]
3,0.05338167270908864,[-10.03165371]
3,0.05350668833604201,[-10.03862828]
3,0.05363170396299538,[-10.22464157]
3,0.053756719589948744,[-10.23090605]
3,0.053881735216902114,[-10.22633589]
3,0.054006750843855485,[-10.20111645]
3,0.054131766470808855,[-10.09813115]
3,0.054256782097762225,[-10.21153304]
3,0.054381797724715596,[-10.19476917]
3,0.05450681335166896,[-10.25069038]
3,0.05463182897862233,[-10.2375485]
3,0.0547568446055757,[-10.23785999]
3,0.05488186023252907,[-10.12019418]
3,0.05500687585948244,[-10.09311907]
3,0.05513189148643581,[-10.15789016]
3,0.055256907113389174,[-10.22532621]
3,0.055381922740342544,[-10.17092273]
3,0.055506938367295915,[-10.39072884]
3,0.055631953994249285,[-10.23076895]
3,0.055756969621202655,[-10.31151294]
3,0.055881985248156026,[-10.3503115]
3,0.05600700087510939,[-10.44159987]
3,0.05613201650206276,[-10.43771021]
3,0.05625703212901613,[-10.43837669]
3,0.0563820477559695,[-10.39608339]
3,0.05650706338292287,[-10.39581364]
3,0.05663207900987624,[-10.36799071]
3,0.05675709463682961,[-10.40466549]
3,0.056882110263782974,[-10.45736237]
3,0.057007125890736345,[-10.35142207]
3,0.057132141517689715,[-10.3134788]
3,0.057257157144643085,[-10.32205734]
3,0.057382172771596456,[-10.53853026]
3,0.057507188398549826,[-10.55158517]
3,0.05763220402550319,[-10.53580005]
3,0.05775721965245656,[-10.53401047]
3,0.05788223527940993,[-10.56323229]
3,0.0580072509063633,[-10.60494771]
3,0.05813226653331667,[-10.62303528]
3,0.05825728216027004,[-10.59472861]
3,0.058382297787223404,[-10.60228919]
3,0.058507313414176775,[-10.58650413]
3,0.058632329041130145,[-10.51266419]
3,0.058757344668083515,[-10.51880436]
3,0.058882360295036885,[-10.6408995]
3,0.059007375921990256,[-10.77047596]
3,0.05913239154894362,[-10.89746704]
3,0.05925740717589699,[-10.90741747]
3,0.05938242280285036,[-10.87382352]
3,0.05950743842980373,[-10.83749713]
3,0.0596324540567571,[-10.82924437]
3,0.05975746968371047,[-10.96950449]
3,0.059882485310663834,[-10.92694325]
3,0.060007500937617204,[-10.94872741]
3,0.060132516564570575,[-10.98662855]
3,0.060257532191523945,[-10.98348613]
3,0.060382547818477315,[-10.90993492]
3,0.060507563445430686,[-10.88217981]
3,0.06063257907238405,[-10.88698816]
3,0.06075759469933742,[-10.84883718]
3,0.06088261032629079,[-10.7394154]
3,0.06100762595324416,[-10.75775889]
3,0.06113264158019753,[-10.73804144]
3,0.0612576572071509,[-10.65847778]
3,0.061382672834104264,[-10.6986954]
3,0.061507688461057634,[-10.74615809]
3,0.061632704088011005,[-10.65460995]
3,0.061757719714964375,[-10.55799819]
3,0.061882735341917745,[-10.59188431]
3,0.062007750968871116,[-10.88693711]
3,0.06213276659582448,[-10.9476773]
3,0.06225778222277785,[-10.9436407]
3,0.06238279784973122,[-10.962794]
3,0.06250781347668459,[-10.92024293]
3,0.06263282910363796,[-10.93255423]
3,0.06275784473059133,[-10.93407268]
3,0.0628828603575447,[-10.92542144]
3,0.06300787598449807,[-10.90621215]
3,0.06313289161145144,[-10.80582905]
3,0.0632579072384048,[-10.92771032]
3,0.06338292286535817,[-10.94212015]
3,0.06350793849231154,[-10.93591396]
3,0.06363295411926491,[-10.9635361]
3,0.06375796974621828,[-11.02943026]
3,0.06388298537317165,[-11.00948535]
3,0.06400800100012502,[-11.01356779]
3,0.06413301662707839,[-11.01250982]
3,0.06425803225403176,[-10.92654202]
3,0.06438304788098513,[-10.95832529]
3,0.0645080635079385,[-11.06845367]
3,0.06463307913489187,[-10.95649996]
3,0.06475809476184524,[-10.94444658]
3,0.0648831103887986,[-11.00470109]
3,0.06500812601575197,[-11.02818621]
3,0.06513314164270534,[-11.13066822]
3,0.06525815726965871,[-11.13447819]
3,0.06538317289661208,[-11.21486025]
3,0.06550818852356545,[-11.25344744]
3,0.06563320415051882,[-11.26759105]
3,0.06575821977747219,[-11.36367002]
3,0.06588323540442556,[-11.36345216]
3,0.06600825103137893,[-11.52442595]
3,0.0661332666583323,[-11.66908976]
3,0.06625828228528567,[-11.72772888]
3,0.06638329791223903,[-11.74357525]
3,0.0665083135391924,[-11.76889542]
3,0.06663332916614577,[-11.77342576]
3,0.06675834479309914,[-11.82282002]
3,0.06688336042005251,[-11.76584702]
3,0.06700837604700588,[-11.71403297]
3,0.06713339167395925,[-11.69742075]
3,0.06725840730091262,[-11.7352299]
3,0.06738342292786599,[-11.75909389]
3,0.06750843855481936,[-11.7497682]
3,0.06763345418177273,[-11.74963799]
3,0.0677584698087261,[-11.75889806]
3,0.06788348543567946,[-11.82469881]
3,0.06800850106263283,[-11.84019016]
3,0.0681335166895862,[-11.85110089]
3,0.06825853231653957,[-11.85725251]
3,0.06838354794349294,[-11.84752043]
3,0.06850856357044631,[-11.8565576]
3,0.06863357919739968,[-11.8268751]
3,0.06875859482435305,[-11.89422889]
3,0.06888361045130642,[-11.88122373]
3,0.06900862607825979,[-11.77799331]
3,0.06913364170521316,[-11.78328941]
3,0.06925865733216653,[-11.83479335]
3,0.06938367295911989,[-11.92619167]
3,0.06950868858607326,[-11.94502865]
3,0.06963370421302663,[-11.91908907]
3,0.06975871983998,[-11.96628896]
3,0.06988373546693337,[-11.93797055]
3,0.07000875109388674,[-11.98592736]
3,0.07013376672084011,[-12.0236293]
3,0.07025878234779348,[-12.04094326]
3,0.07038379797474685,[-12.0478841]
3,0.07050881360170022,[-12.05681184]
3,0.07063382922865359,[-12.09692113]
3,0.07075884485560696,[-12.11109342]
3,0.07088386048256032,[-12.15384993]
3,0.07100887610951369,[-12.14876443]
3,0.07113389173646706,[-12.14825498]
3,0.07125890736342043,[-12.14802512]
3,0.0713839229903738,[-12.12284207]
3,0.07150893861732717,[-12.1102175]
3,0.07163395424428054,[-12.11334109]
3,0.07175896987123391,[-12.10994418]
3,0.07188398549818728,[-12.02436493]
3,0.07200900112514065,[-12.04937955]
3,0.07213401675209402,[-12.08363337]
3,0.07225903237904739,[-12.08339271]
3,0.07238404800600076,[-12.10140492]
3,0.07250906363295412,[-12.09289219]
3,0.07263407925990749,[-12.0971329]
3,0.07275909488686086,[-12.06797542]
3,0.07288411051381423,[-12.08072686]
3,0.0730091261407676,[-12.05422602]
3,0.07313414176772097,[-12.05296973]
3,0.07325915739467434,[-12.01735383]
3,0.07338417302162771,[-12.09863735]
3,0.07350918864858108,[-12.09201409]
3,0.07363420427553445,[-12.12757136]
3,0.07375921990248782,[-12.12937426]
3,0.07388423552944119,[-12.12204384]
3,0.07400925115639455,[-12.10059954]
3,0.07413426678334792,[-12.09831877]
3,0.07425928241030129,[-12.13332475]
3,0.07438429803725466,[-12.13312363]
3,0.07450931366420803,[-12.13374232]
3,0.0746343292911614,[-11.96336565]
3,0.07475934491811477,[-11.96659979]
3,0.07488436054506814,[-12.01963624]
3,0.07500937617202151,[-11.97375944]
3,0.07513439179897488,[-11.95962821]
3,0.07525940742592825,[-12.09111898]
3,0.07538442305288162,[-12.0974671]
3,0.07550943867983498,[-12.15000135]
3,0.07563445430678835,[-12.12303968]
3,0.07575946993374172,[-12.09126427]
3,0.07588448556069509,[-12.07695181]
3,0.07600950118764846,[-12.03531251]
3,0.07613451681460183,[-12.01517253]
3,0.0762595324415552,[-11.93821856]
3,0.07638454806850857,[-11.9480562]
3,0.07650956369546194,[-11.95209844]
3,0.07663457932241531,[-11.95051383]
3,0.07675959494936868,[-12.07824442]
3,0.07688461057632205,[-12.01856057]
3,0.07700962620327541,[-12.01871727]
3,0.07713464183022878,[-12.01243402]
3,0.07725965745718215,[-12.00086825]
3,0.07738467308413552,[-12.0550012]
3,0.07750968871108889,[-12.03912486]
3,0.07763470433804226,[-12.22379285]
3,0.07775971996499563,[-12.21845357]
3,0.077884735591949,[-12.26918834]
3,0.07800975121890237,[-12.30135227]
3,0.07813476684585574,[-12.31277843]
3,0.07825978247280911,[-12.31263614]
3,0.07838479809976248,[-12.30458902]
3,0.07850981372671584,[-12.30081979]
3,0.07863482935366921,[-12.30395119]
3,0.07875984498062258,[-12.31534624]
3,0.07888486060757595,[-12.31182491]
3,0.07900987623452932,[-12.29967323]
3,0.07913489186148269,[-12.3027295]
3,0.07925990748843606,[-12.36396294]
3,0.07938492311538943,[-12.40030205]
3,0.0795099387423428,[-12.4149025]
3,0.07963495436929617,[-12.41233947]
3,0.07975996999624954,[-12.41175732]
3,0.07988498562320291,[-12.41570191]
3,0.08001000125015628,[-12.41013286]
3,0.08013501687710964,[-12.41030811]
3,0.08026003250406301,[-12.4088597]
3,0.08038504813101638,[-12.41945614]
3,0.08051006375796975,[-12.41056388]
3,0.08063507938492312,[-12.36542299]
3,0.08076009501187649,[-12.38322133]
3,0.08088511063882986,[-12.37594811]
3,0.08101012626578323,[-12.38732823]
3,0.0811351418927366,[-12.42275962]
3,0.08126015751968997,[-12.41539676]
3,0.08138517314664334,[-12.42425708]
3,0.08151018877359671,[-12.41465437]
3,0.08163520440055007,[-12.41435736]
3,0.08176022002750344,[-12.42083551]
3,0.08188523565445681,[-12.41908183]
3,0.08201025128141018,[-12.422391]
3,0.08213526690836355,[-12.38915967]
3,0.08226028253531692,[-12.3808978]
3,0.08238529816227029,[-12.36271299]
3,0.08251031378922366,[-12.38680113]
3,0.08263532941617703,[-12.36467275]
3,0.0827603450431304,[-12.36604427]
3,0.08288536067008377,[-12.35683223]
3,0.08301037629703714,[-12.37143043]
3,0.0831353919239905,[-12.36430161]
3,0.08326040755094387,[-12.37312174]
3,0.08338542317789724,[-12.40893648]
3,0.08351043880485061,[-12.47216645]
3,0.08363545443180398,[-12.53168805]
3,0.08376047005875735,[-12.53181697]
3,0.08388548568571072,[-12.52842977]
3,0.08401050131266409,[-12.64674678]
3,0.08413551693961746,[-12.64524413]
3,0.08426053256657083,[-12.64509056]
3,0.0843855481935242,[-12.6463375]
3,0.08451056382047757,[-12.6555534]
3,0.08463557944743093,[-12.6502708]
3,0.0847605950743843,[-12.65093751]
3,0.08488561070133767,[-12.66125875]
3,0.08501062632829104,[-12.66721635]
3,0.08513564195524441,[-12.66958247]
3,0.08526065758219778,[-12.67237]
3,0.08538567320915115,[-12.67144381]
3,0.08551068883610452,[-12.68164864]
3,0.08563570446305789,[-12.68845244]
